time,lat,lon,h,x,y,z,speed,accel_x,accel_y,accel_z,roll,pitch,yaw,heading
32.163733,37.63152875,126.9705435,50.94350378,-360.13,6170.32,30.94,13.44,1.688448276,2.174827586,0.074241379,0.011947,-0.028686,0.649275,298.35
32.402732,37.6315383,126.9705638,50.93443157,-358.66,6171.2,30.93,13.77,0.5368,2.688566667,-0.247033333,-0.017752,-0.021545,0.44622,303.04
32.642732,37.63154894,126.9705834,50.93547986,-356.93,6172.38,30.93,14.21,-0.198535714,3.037535714,0.017285714,0.001539,-0.011348,0.29252,306.05
32.88375,37.63156074,126.9706032,50.92665394,-355.18,6173.69,30.92,14.68,-0.155275862,3.224206897,-0.186034483,0.007012,-0.008121,0.211658,308.15
33.124751,37.63157353,126.9706234,50.91793391,-353.08,6175.37,30.91,15.19,-0.303448276,3.414482759,-0.264896552,-0.052659,0.030742,0.16138,309.73
33.365824,37.63158723,126.9706438,50.90931073,-351.6,6176.63,30.9,15.72,0.03362069,3.519724138,0.707413793,-0.018366,-0.034625,0.131603,310.95
33.605868,37.63160183,126.9706648,50.91078283,-349.75,6178.25,30.9,16.34,0.02362069,4.561689655,-0.021344828,0.031345,-0.059905,0.088747,311.96
33.846928,37.63161723,126.9706863,50.91234061,-347.85,6179.96,30.9,17.02,-0.071068966,3.960689655,0.280275862,0.056177,0.022989,0.046884,312.51
34.88971,37.63163336,126.9707084,50.92397448,-345.9,6181.75,30.91,17.58,-0.534068966,3.659862069,0.208586207,-0.058459,0.036455,0.034238,312.83
34.330016,37.63165021,126.9707313,50.91568347,-343.88,6183.62,30.9,18.15,0.176793103,3.688724138,0.460965517,-0.022988,0.037384,0.037873,313.12
34.570533,37.63166769,126.9707547,50.90745906,-341.81,6185.56,30.89,18.66,0.260366667,3.244,-1.6686,0.04389,-0.106067,0.026501,313.43
34.821534,37.63168923,126.9707834,50.91964931,-339.28,6187.95,30.9,19.2,-0.353037037,2.460259259,0.523296296,-0.026423,0.031455,0.02014,313.68
35.80074,37.63170481,126.9708039,50.93123704,-337.47,6189.68,30.91,19.45,-0.142483871,1.597064516,0.475741935,-0.040006,0.036157,0.022269,313.82
35.335585,37.63172761,126.9708337,50.94356163,-334.84,6192.21,30.92,19.67,0.050592593,0.931148148,-0.07762963,-0.02496,0.00227,0.008489,313.98
35.590585,37.63174365,126.9708547,50.94519787,-332.98,6193.99,30.92,19.84,0.141322581,3.39116129,-0.335354839,0.013855,0.010707,-0.005119,313.97
35.817584,37.63176392,126.9708812,50.94726822,-330.64,6196.24,30.92,20.4,0.04046875,3.89475,-0.75684375,0.005658,-0.027498,-0.010186,313.88
36.42642,37.63178482,126.9709087,50.94940434,-328.22,6198.56,30.92,21.03,0.06428125,3.60496875,0.176,0.005123,-0.013259,0.005478,313.89
36.283659,37.63180582,126.9709362,50.96155145,-325.79,6200.89,30.93,21.56,0.074,2.926066667,-0.2787,-0.002529,0.001029,0.004318,313.94
36.524659,37.6318269,126.9709638,50.9637096,-323.35,6203.23,30.93,21.43,0.017066667,-6.235666667,0.966166667,-0.002519,0.073371,0.007504,313.97
36.764659,37.63184735,126.9709906,50.96580525,-320.99,6205.5,30.93,20.1,-0.054517241,-9.773655172,1.020655172,0.009034,0.07292,0.003622,314.01
37.4658,37.63186591,126.9710148,50.95770858,-318.85,6207.56,30.92,18.47,0.009233333,-10.77906667,0.450433333,0.013193,-0.02721,0.00534,314.05
37.231696,37.63188294,126.971037,50.97945621,-316.89,6209.45,30.94,16.76,-0.12983871,-10.53841935,0.022709677,-0.02576,-0.051162,0.010062,314.13
37.471695,37.63189826,126.9710567,51.01103027,-315.15,6211.15,30.97,15.14,-0.10762963,-10.45092593,-0.393555556,-0.040162,0.014115,0.014412,314.23
37.714224,37.63191412,126.9710772,51.02266046,-313.34,6212.91,30.98,13.34,-0.044035714,-9.32675,0.703821429,-0.038862,0.102556,0.017378,314.38
37.951223,37.63192412,126.97109,51.02368967,-312.21,6214.02,30.98,12.15,-0.00975,-9.000714286,-0.878035714,-0.035609,0.025595,0.01571,314.49
38.191223,37.63193448,126.9711042,51.00475253,-310.96,6215.17,30.96,10.51,4.96375,-9.904928571,-0.355928571,-0.190953,-0.012874,-0.476907,312.71
38.431757,37.63194241,126.9711179,50.99555385,-309.75,6216.05,30.95,9.69,-0.831222222,-0.544111111,-0.222074074,-0.037976,-0.107451,-0.808712,306.48
38.671756,37.63194899,126.9711319,50.99620743,-308.51,6216.78,30.95,9.68,-1.71325,0.107428571,-0.365357143,0.029999,-0.11069,-0.682445,299.91
38.912757,37.63195484,126.9711469,50.99677927,-307.19,6217.43,30.95,9.68,-1.519481481,0.002407407,0.173518519,0.020316,-0.023,-0.41997,295.27
39.15333,37.63195998,126.971162,50.99727275,-305.86,6218,30.95,9.66,0.110111111,-0.129925926,-0.072592593,0.010491,-0.004614,-0.214366,292.78
